Leeftijd_Uzelf,Geslacht_Uzelf,Educatie_Uzelf,Tech_Uzelf,Home-Uzelf,Gemak_Nom
5,Man,2,3,3,Somewhat low
3,Vrouw,3,3,5,Very high
3,Man,3,3,5,High
3,Man,3,4,4,High
5,Man,2,2,3,High
3,Vrouw,3,3,3,High
5,Vrouw,3,2,3,Neutral
3,Vrouw,2,1,3,High
3,Vrouw,3,3,4,Somewhat low
3,Man,3,3,5,Somewhat high
4,Vrouw,3,1,3,High
6,Man,3,2,3,High
3,Man,3,4,4,High
3,Vrouw,3,3,2,Somewhat high
3,Vrouw,3,3,5,Somewhat high
2,Vrouw,2,2,2,Very high
3,Man,2,3,3,High
3,Vrouw,3,3,4,High
3,Vrouw,3,3,2,Neutral
5,Man,2,1,3,Neutral
6,Man,3,3,5,High
3,Man,3,4,3,Very high
5,Vrouw,2,0,3,Neutral
3,Vrouw,3,3,4,High
6,Man,1,2,5,Somewhat high
3,Man,3,3,4,High
3,Vrouw,3,0,5,Neutral
3,Man,3,4,4,Neutral
3,Vrouw,3,3,5,Somewhat high
3,Vrouw,3,3,5,Very high
3,Man,3,3,4,Very high
3,Vrouw,3,2,1,High
3,Man,3,4,4,Very high
3,Man,3,4,5,Low
3,Man,3,4,4,Very high
3,Man,3,3,4,Very high
3,Vrouw,3,3,4,Somewhat high
