Leeftijd_Uzelf,Geslacht_Uzelf,Educatie_Uzelf,Tech_Uzelf,Home-Uzelf,Privacy_Nom
5,Man,2,3,3,Low
3,Vrouw,3,3,5,Somewhat low
3,Man,3,3,5,Somewhat high
3,Man,3,4,4,Neutral
5,Man,2,2,3,Low
3,Vrouw,3,3,3,Neutral
5,Vrouw,3,2,3,Neutral
3,Vrouw,2,1,3,High
3,Vrouw,3,3,4,Somewhat high
3,Man,3,3,5,Somewhat low
4,Vrouw,3,1,3,High
6,Man,3,2,3,Somewhat high
3,Man,3,4,4,Very low
3,Vrouw,3,3,2,Neutral
3,Vrouw,3,3,5,Low
2,Vrouw,2,2,2,Neutral
3,Man,2,3,3,High
3,Vrouw,3,3,4,Low
3,Vrouw,3,3,2,Neutral
5,Man,2,1,3,Somewhat high
6,Man,3,3,5,High
3,Man,3,4,3,Very low
5,Vrouw,2,0,3,Neutral
3,Vrouw,3,3,4,Low
6,Man,1,2,5,Low
3,Man,3,3,4,High
3,Vrouw,3,0,5,Neutral
3,Man,3,4,4,Low
3,Vrouw,3,3,5,High
3,Vrouw,3,3,5,Somewhat low
3,Man,3,3,4,Somewhat high
3,Vrouw,3,2,1,High
3,Man,3,4,4,Somewhat high
3,Man,3,4,5,Very low
3,Man,3,4,4,Somewhat high
3,Man,3,3,4,Somewhat low
3,Vrouw,3,3,4,Neutral
