TypeHuishouden,TypeHuis,Leeftijd_Uzelf,Geslacht_Uzelf,Educatie_Uzelf,Tech_Uzelf,Home-Uzelf,Duurzaamheid_Nom
Samenwonend enkel met partner,2-onder-1-kapwoning,5,Man,2,3,3,High
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Vrouw,3,3,5,Very high
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,3,5,Low
Samenwonend enkel met partner,2-onder-1-kapwoning,3,Man,3,4,4,Somewhat high
Samenwonend met partner en kind(eren),2-onder-1-kapwoning,5,Man,2,2,3,Somewhat high
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Vrouw,3,3,3,Very high
Samenwonend met partner en kind(eren),2-onder-1-kapwoning,5,Vrouw,3,2,3,Somewhat high
Samenwonend enkel met partner,2-onder-1-kapwoning,3,Vrouw,2,1,3,High
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,4,High
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,3,5,Very high
Samenwonend enkel met partner,2-onder-1-kapwoning,4,Vrouw,3,1,3,Neutral
Samenwonend enkel met partner,Tussenwoning/hoekwoning,6,Man,3,2,3,High
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,4,4,Very high
Samenwonend enkel met partner,Appartement,3,Vrouw,3,3,2,Neutral
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Vrouw,3,3,5,High
Alleenstaande ouder met kind(eren),Tussenwoning/hoekwoning,2,Vrouw,2,2,2,Very high
Samenwonend enkel met partner,Vrijstaande woning,3,Man,2,3,3,High
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,4,High
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,2,Very high
Samenwonend enkel met partner,Tussenwoning/hoekwoning,5,Man,2,1,3,High
Samenwonend enkel met partner,Tussenwoning/hoekwoning,6,Man,3,3,5,High
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,4,3,Neutral
Samenwonend enkel met partner,2-onder-1-kapwoning,5,Vrouw,2,0,3,Very high
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,4,Very high
Samenwonend enkel met partner,Tussenwoning/hoekwoning,6,Man,1,2,5,High
Samenwonend met huisgenoot/huisgenoten,Vrijstaande woning,3,Man,3,3,4,High
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,0,5,Very high
Samenwonend enkel met partner,Tussenwoning/hoekwoning,3,Man,3,4,4,High
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,5,High
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,5,Somewhat high
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Man,3,3,4,High
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Vrouw,3,2,1,High
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,4,4,Somewhat high
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Man,3,4,5,High
Samenwonend enkel met partner,Tussenwoning/hoekwoning,3,Man,3,4,4,Very high
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,3,4,Somewhat high
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,4,Somewhat Low
