TypeHuishouden,TypeHuis,Leeftijd_Uzelf,Geslacht_Uzelf,Educatie_Uzelf,Tech_Uzelf,Home-Uzelf,Duurzaamheid_Nom,Beveiliging_Nom,Gemak_Nom,Privacy_Nom,Personalisatie_Nom,Controle_Nom,Lights_Beweging
Samenwonend enkel met partner,2-onder-1-kapwoning,5,Man,2,3,3,High,Somewhat low,Somewhat low,Low,Low,Somewhat low,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Vrouw,3,3,5,Very high,Very high,Very high,Somewhat low,Very high,Very high,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,3,5,Low,Neutral,High,Somewhat high,High,Somewhat high,Ja
Samenwonend enkel met partner,2-onder-1-kapwoning,3,Man,3,4,4,Somewhat high,Somewhat high,High,Neutral,Very high,High,Nee
Samenwonend met partner en kind(eren),2-onder-1-kapwoning,5,Man,2,2,3,Somewhat high,High,High,Low,Neutral,Neutral,Ja
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Vrouw,3,3,3,Very high,Somewhat high,High,Neutral,High,High,Ja
Samenwonend met partner en kind(eren),2-onder-1-kapwoning,5,Vrouw,3,2,3,Somewhat high,Somewhat high,Neutral,Neutral,Somewhat high,Very low,Nee
Samenwonend enkel met partner,2-onder-1-kapwoning,3,Vrouw,2,1,3,High,Very high,High,High,Very high,High,Ja
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,4,High,Somewhat low,Somewhat low,Somewhat high,Somewhat low,Somewhat high,Ja
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,3,5,Very high,Somewhat low,Somewhat high,Somewhat low,Very low,Neutral,Nee
Samenwonend enkel met partner,2-onder-1-kapwoning,4,Vrouw,3,1,3,Neutral,High,High,High,Low,Neutral,Ja
Samenwonend enkel met partner,Tussenwoning/hoekwoning,6,Man,3,2,3,High,Somewhat high,High,Somewhat high,High,Somewhat high,Ja
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,4,4,Very high,Neutral,High,Very low,Very high,Very high,Ja
Samenwonend enkel met partner,Appartement,3,Vrouw,3,3,2,Neutral,High,Somewhat high,Neutral,Neutral,Somewhat high,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Vrouw,3,3,5,High,Somewhat high,Somewhat high,Low,Somewhat high,Somewhat high,Nee
Alleenstaande ouder met kind(eren),Tussenwoning/hoekwoning,2,Vrouw,2,2,2,Very high,High,Very high,Neutral,Very high,Very high,Nee
Samenwonend enkel met partner,Vrijstaande woning,3,Man,2,3,3,High,High,High,High,High,High,Ja
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,4,High,High,High,Low,High,Neutral,Ja
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,2,Very high,Somewhat low,Neutral,Neutral,High,High,Nee
Samenwonend enkel met partner,Tussenwoning/hoekwoning,5,Man,2,1,3,High,Low,Neutral,Somewhat high,Neutral,Somewhat high,Nee
Samenwonend enkel met partner,Tussenwoning/hoekwoning,6,Man,3,3,5,High,High,High,High,High,High,Ja
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,4,3,Neutral,Very high,Very high,Very low,Very high,Low,Ja
Samenwonend enkel met partner,2-onder-1-kapwoning,5,Vrouw,2,0,3,Very high,High,Neutral,Neutral,Somewhat high,Somewhat low,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,4,Very high,Somewhat high,High,Low,Somewhat high,Neutral,Ja
Samenwonend enkel met partner,Tussenwoning/hoekwoning,6,Man,1,2,5,High,Low,Somewhat high,Low,Low,Neutral,Nee
Samenwonend met huisgenoot/huisgenoten,Vrijstaande woning,3,Man,3,3,4,High,High,High,High,High,Somewhat high,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,0,5,Very high,Somewhat high,Neutral,Neutral,Somewhat high,Low,Nee
Samenwonend enkel met partner,Tussenwoning/hoekwoning,3,Man,3,4,4,High,Low,Neutral,Low,Neutral,Low,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,5,High,Neutral,Somewhat high,High,High,Neutral,Ja
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,5,Somewhat high,Somewhat high,Very high,Somewhat low,Very high,High,Ja
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Man,3,3,4,High,Somewhat high,Very high,Somewhat high,Very high,Very high,Ja
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Vrouw,3,2,1,High,Neutral,High,High,High,Neutral,Nee
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,4,4,Somewhat high,High,Very high,Somewhat high,High,Neutral,Nee
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Man,3,4,5,High,Neutral,Low,Very low,High,Neutral,Nee
Samenwonend enkel met partner,Tussenwoning/hoekwoning,3,Man,3,4,4,Very high,Somewhat high,Very high,Somewhat high,Very high,Somewhat high,Ja
Samenwonend met huisgenoot/huisgenoten,Tussenwoning/hoekwoning,3,Man,3,3,4,Somewhat high,High,Very high,Somewhat low,High,High,Ja
Samenwonend met huisgenoot/huisgenoten,Appartement,3,Vrouw,3,3,4,Somewhat low,Very high,Somewhat high,Neutral,High,Somewhat low,Nee
